order_id,lane,flow,lines,delay_hours,scan_miss,same_day_complete
W00001,Inbound-A,inbound,4,2.48,0,0
W00002,Outbound-South,outbound,7,0.44,0,1
W00003,Inbound-A,inbound,7,2.29,0,0
W00004,Outbound-South,outbound,3,0.0,0,1
W00005,Outbound-North,outbound,3,2.51,0,0
W00006,Inbound-B,inbound,2,0.17,0,1
W00007,Inbound-B,inbound,4,0.07,0,1
W00008,Outbound-North,outbound,5,1.59,0,0
W00009,Outbound-North,outbound,8,0.36,0,1
W00010,Outbound-South,outbound,5,5.06,0,0
W00011,Outbound-South,outbound,1,0.32,0,1
W00012,Returns,return,4,1.59,0,0
W00013,Outbound-South,outbound,1,0.85,0,1
W00014,Outbound-South,outbound,3,1.6,0,0
W00015,Inbound-B,inbound,5,1.99,0,0
W00016,Outbound-North,outbound,2,0.15,0,1
W00017,Outbound-North,outbound,4,2.65,1,0
W00018,Outbound-North,outbound,2,2.32,0,0
W00019,Outbound-North,outbound,2,0.55,0,1
W00020,Inbound-B,inbound,8,1.45,1,0
W00021,Inbound-B,inbound,5,2.1,0,0
W00022,Outbound-South,outbound,4,2.22,0,0
W00023,Inbound-A,inbound,1,0,0,1
W00024,Returns,return,1,1.54,0,0
W00025,Outbound-South,outbound,8,0.93,0,1
W00026,Outbound-South,outbound,6,1.47,0,0
W00027,Outbound-South,outbound,7,4.8,0,0
W00028,Outbound-South,outbound,3,4.71,0,0
W00029,Outbound-South,outbound,8,3.12,0,0
W00030,Inbound-A,inbound,6,0,0,1
W00031,Outbound-North,outbound,3,1.38,0,0
W00032,Inbound-B,inbound,3,0.59,0,1
W00033,Returns,return,3,0.77,0,1
W00034,Outbound-North,outbound,3,1.23,0,0
W00035,Inbound-B,inbound,6,0,0,1
W00036,Outbound-South,outbound,4,1.41,0,0
W00037,Outbound-North,outbound,7,2.12,0,0
W00038,Outbound-South,outbound,3,3.87,0,0
W00039,Outbound-South,outbound,8,1.43,0,0
W00040,Outbound-South,outbound,5,0.0,0,1
W00041,Inbound-B,inbound,2,0,0,1
W00042,Returns,return,8,2.05,0,0
W00043,Inbound-A,inbound,1,0,0,1
W00044,Outbound-North,outbound,8,1.77,0,0
W00045,Inbound-B,inbound,3,0,0,1
W00046,Inbound-A,inbound,7,0,0,1
W00047,Inbound-B,inbound,4,0,0,1
W00048,Inbound-A,inbound,4,2.08,0,0
W00049,Returns,return,5,0.89,0,1
W00050,Outbound-North,outbound,5,0,0,1
W00051,Inbound-A,inbound,3,1.24,0,0
W00052,Outbound-North,outbound,4,1.26,0,0
W00053,Inbound-A,inbound,6,0.27,0,1
W00054,Outbound-South,outbound,1,0.0,0,1
W00055,Inbound-A,inbound,5,0.21,0,1
